,teamName,id,teamslug,teamorigin
0,CF Monterrey,1932,cf-monterrey,mexico
1,Club América,1939,club-america,mexico
2,Cruz Azul,1947,cruz-azul,mexico
3,Tigres UANL,1940,tigres-uanl,mexico
4,CD Toluca,1931,deportivo-toluca-fc,mexico
5,CF Pachuca,1936,cf-pachuca,mexico
6,Club Tijuana,36525,club-tijuana,mexico
7,FC Juárez,201624,fc-juarez,mexico
8,Club León,36534,club-leon,mexico
9,Pumas UNAM,1933,pumas-unam,mexico
10,Santos Laguna,1948,santos-laguna,mexico
11,Mazatlán FC,1946,mazatlan-fc,mexico
12,Atlético San Luis,1950,atletico-san-luis,mexico
13,Atlas FC,1949,atlas-fc,mexico
14,Club Necaxa,1944,club-necaxa,mexico
15,CD Guadalajara,1938,cd-guadalajara,mexico
16,Querétaro FC,1951,queretaro-fc,mexico
17,Club Puebla,1941,club-puebla,mexico
18,Liverpool,44,liverpool,england
19,Chelsea,38,chelsea,england
20,Arsenal,42,arsenal,england
21,Tottenham Hotspur,33,tottenham-hotspur,england
22,Everton,48,everton,england
23,Sunderland,41,sunderland,england
24,Bournemouth,60,bournemouth,england
25,Crystal Palace,7,crystal-palace,england
26,Manchester United,35,manchester-united,england
27,Nottingham Forest,14,nottingham-forest,england
28,Brighton & Hove Albion,30,brighton-and-hove-albion,england
29,Leeds United,34,leeds-united,england
30,Manchester City,17,manchester-city,england
31,Burnley,6,burnley,england
32,Brentford,50,brentford,england
33,West Ham United,37,west-ham-united,england
34,Newcastle United,39,newcastle-united,england
35,Fulham,43,fulham,england
36,Aston Villa,40,aston-villa,england
37,Wolverhampton,3,wolverhampton,england
38,Real Madrid,2829,real-madrid,spain
39,Athletic Club,2825,athletic-club,spain
40,Villarreal,2819,villarreal,spain
41,Barcelona,2817,barcelona,spain
42,Espanyol,2814,espanyol,spain
43,Getafe,2859,getafe,spain
44,Elche,2846,elche,spain
45,Real Betis,2816,real-betis,spain
46,Valencia,2828,valencia,spain
47,Rayo Vallecano,2818,rayo-vallecano,spain
48,Deportivo Alavés,2885,deportivo-alaves,spain
49,Sevilla,2833,sevilla,spain
50,Osasuna,2820,osasuna,spain
51,Celta Vigo,2821,celta-vigo,spain
52,Real Oviedo,2851,real-oviedo,spain
53,Atlético Madrid,2836,atletico-madrid,spain
54,Real Sociedad,2824,real-sociedad,spain
55,Mallorca,2826,mallorca,spain
56,Levante UD,2849,levante-ud,spain
57,Girona FC,24264,girona-fc,spain
58,FC Bayern München,2672,fc-bayern-munchen,germany
59,Eintracht Frankfurt,2674,eintracht-frankfurt,germany
60,1. FC Köln,2671,1-fc-koln,germany
61,Borussia Dortmund,2673,borussia-dortmund,germany
62,FC St. Pauli,2526,fc-st-pauli,germany
63,VfL Wolfsburg,2524,vfl-wolfsburg,germany
64,FC Augsburg,2600,fc-augsburg,germany
65,VfB Stuttgart,2677,vfb-stuttgart,germany
66,TSG Hoffenheim,2569,tsg-hoffenheim,germany
67,1. FC Union Berlin,2547,1-fc-union-berlin,germany
68,RB Leipzig,36360,rb-leipzig,germany
69,Bayer 04 Leverkusen,2681,bayer-04-leverkusen,germany
70,1. FSV Mainz 05,2556,1-fsv-mainz-05,germany
71,Borussia M'gladbach,2527,borussia-mgladbach,germany
72,Hamburger SV,2676,hamburger-sv,germany
73,SV Werder Bremen,2534,sv-werder-bremen,germany
74,1. FC Heidenheim,5885,1-fc-heidenheim,germany
75,SC Freiburg,2538,sc-freiburg,germany
76,Juventus,2687,juventus,italy
77,Napoli,2714,napoli,italy
78,Cremonese,2761,cremonese,italy
79,Roma,2702,roma,italy
80,Udinese,2695,udinese,italy
81,Inter,2697,inter,italy
82,Lazio,2699,lazio,italy
83,Milan,2692,milan,italy
84,Como,2704,como,italy
85,Bologna,2685,bologna,italy
86,Atalanta,2686,atalanta,italy
87,Fiorentina,2693,fiorentina,italy
88,Cagliari,2719,cagliari,italy
89,Pisa,2737,pisa,italy
90,Genoa,2713,genoa,italy
91,Parma,2690,parma,italy
92,Lecce,2689,lecce,italy
93,Hellas Verona,2701,hellas-verona,italy
94,Torino,2696,torino,italy
95,Sassuolo,2793,sassuolo,italy
96,Paris Saint-Germain,1644,paris-saint-germain,france
97,Olympique Lyonnais,1649,olympique-lyonnais,france
98,Lille,1643,lille,france
99,AS Monaco,1653,as-monaco,france
100,RC Lens,1648,rc-lens,france
101,RC Strasbourg,1659,rc-strasbourg,france
102,Toulouse,1681,toulouse,france
103,Angers,1684,angers,france
104,Stade Rennais,1658,stade-rennais,france
105,Olympique de Marseille,1641,olympique-de-marseille,france
106,Le Havre,1662,le-havre,france
107,Nice,1661,nice,france
108,Nantes,1647,nantes,france
109,Auxerre,1646,auxerre,france
110,Lorient,1656,lorient,france
111,Paris FC,6070,paris-fc,france
112,Stade Brestois,1715,stade-brestois,france
113,Metz,1651,metz,france
114,Abu Muslim,939374,abu-muslim,afghanistan
115,Attack Energy SC,527823,attack-energy-sc,afghanistan
116,Sorkh Poshan,939365,sorkh-poshan,afghanistan
117,Istiqlal Club,939366,istiqlal-club,afghanistan
118,Sarrafan FC,1040177,sarrafan-fc,afghanistan
119,Khurasan FC,939371,khurasan-fc,afghanistan
120,Sarsabz Yashlar,939369,sarsabz-yashlar,afghanistan
121,Mawj Sahel Sehat,939370,mawj-sahel-sehat,afghanistan
122,Aino FC,939368,aino-fc,afghanistan
123,Perozi Kabul,1040176,perozi-kabul,afghanistan
124,Adalat Farah,939372,adalat-farah,afghanistan
125,Khadim FC,939375,khadim-fc,afghanistan
126,AF Elbasani,403091,af-elbasani,albania
127,FK Partizani,5222,fk-partizani,albania
128,Dinamo City,5217,dinamo-city,albania
129,KF Vora,173810,kf-vora,albania
130,KF Vllaznia,5418,kf-vllaznia,albania
131,KF Bylis,37123,kf-bylis,albania
132,KF Teuta Durrës,5417,kf-teuta-durres,albania
133,Flamurtari FC,36387,flamurtari-fc,albania
134,KF Egnatia,264619,ks-egnatia,albania
135,KF Tirana,5195,kf-tirana,albania
136,MB Rouissat,238383,mb-rouisset,algeria
137,Olympique Akbou,306567,olympique-akbou,algeria
138,USM Khenchela,238384,usm-khenchela,algeria
139,ES Mostaganem,186100,es-mostaganem,algeria
140,CR Belouizdad,42207,cr-belouizdad,algeria
141,MC Oran,45001,mc-oran,algeria
142,CS Constantine,55393,cs-constantine,algeria
143,ES Sétif,41756,es-setif,algeria
144,JS Kabylie,42202,js-kabylie,algeria
145,MC Alger,42204,mc-alger,algeria
146,USM Alger,42206,usm-alger,algeria
147,ES Ben Aknoun,133444,es-ben-aknoun,algeria
148,JS Saoura,79565,js-saoura,algeria
149,ASO Chlef,42201,aso-chlef,algeria
150,Paradou AC,212197,paradou-ac,algeria
151,MC El Bayadh,133466,mc-el-bayadh,algeria
152,Pago Youth FC,492002,pago-youth-fc,american-samoa
153,PanSa East SC,491993,pansa-east-sc,american-samoa
154,Royal Puma FC,491994,royal-puma-fc,american-samoa
155,Ilaoa & To'omata SC,491992,ilaoa-and-toomata-sc,american-samoa
156,Vaiala Tongan,491999,vaiala-tongan,american-samoa
157,Green Bay Faga'alu,491997,green-bay-fagaalu,american-samoa
158,Tafuna Jets,492000,tafuna-jets,american-samoa
159,Utulei Youth,492001,utulei-youth,american-samoa
160,Lion Heart,491998,lion-heart,american-samoa
161,Tupulaga Fagasa,556616,tupulaga-fagasa,american-samoa
162,Black Roses,491995,black-roses,american-samoa
163,Atlètic Club Escaldes,37962,atletic-club-escaldes,andorra
164,CE Carroi,209035,ce-carroi,andorra
165,CF Esperanca d'Andorra,422630,cf-esperanca-dandorra,andorra
166,FC Ordino,83851,fc-ordino,andorra
167,FC Pas de la Casa,209036,fc-pas-de-la-casa,andorra
168,Penya Encarnada d'Andorra,37966,penya-encarnada-dandorra,andorra
169,FC Rànger's,5965,fc-rangers,andorra
170,FC Santa Coloma,7711,fc-santa-coloma,andorra
171,Inter Club d'Escaldes,37946,inter-club-descaldes,andorra
172,UE Santa Coloma,37949,ue-santa-coloma,andorra
173,Atlético Petróleos de Luanda,148072,atletico-petroleos-de-luanda,angola
174,Wiliete SC,326543,wiliete-sc,angola
175,Primeiro de Agosto,134318,primeiro-de-agosto,angola
176,Sagrada Esperança,195746,sagrada-esperanca,angola
177,FC Bravos do Maquis,195753,fc-bravos-do-maquis,angola
178,CD São Salvador,496745,cd-sao-salvador,angola
179,Interclube Luanda,76431,interclube-luanda,angola
180,Desportivo da Huíla,195747,desportivo-da-huila,angola
181,Kabuscorp SCP,134310,kabuscorp-scp,angola
182,CD Lunda Sul,394492,clube-desportivo-lunda-sul,angola
183,Académica Petróleos do Lobito,195748,academica-petroleos-do-lobito,angola
184,Recreativo do Libolo,94785,recreativo-do-libolo,angola
185,Luanda City FC,859331,luanda-city-fc,angola
186,Santa Rita de Cássia FC,245483,santa-rita,angola
187,GD Escolinha Isaac do Benguela,448660,gd-escolinha-isaac-de-benguela,angola
188,Carmona SC do Uíge,859332,carmona-fc,angola
189,Roaring Lions FC,377274,roaring-lions-fc,anguilla
190,Attackers FC,377276,attackers-fc,anguilla
191,Doc's United FC,377278,docs-united-fc,anguilla
192,Uprising FC,377272,uprising-fc,anguilla
193,Eagle Claw FC,409450,eagle-claw-fc,anguilla
194,Spartans FC,377273,spartans-fc,anguilla
195,Lymers FC,377269,lymers-fc,anguilla
196,Diamond FC,377271,diamond-fc,anguilla
197,West End Predators FC,377268,west-end-predators-fc,anguilla
198,East Enders FC,938576,east-enders-fc,anguilla
199,All Saints United,459375,all-saints-united,antigua-and-barbuda
200,Grenades FC,459380,grenades-fc,antigua-and-barbuda
201,Garden Stars FC,500236,garden-stars-fc,antigua-and-barbuda
202,Flow Old Road FC,244433,flow-old-road-fc,antigua-and-barbuda
203,Villa Lions FC,459377,villa-lions-fc,antigua-and-barbuda
204,Pigotts SC,459373,pigotts-sc,antigua-and-barbuda
205,John Hughes SC,500239,john-hughes-sc,antigua-and-barbuda
206,Potters Tigers FC,933635,potters-tigers-fc,antigua-and-barbuda
207,Green City FC,500238,green-city-fc,antigua-and-barbuda
208,Attacking Saints FC,933636,attacking-saints-fc,antigua-and-barbuda
209,Five Islands FC,276897,five-islands-fc,antigua-and-barbuda
210,Parham FC,306181,parham-fc,antigua-and-barbuda
211,Willikies FC,459374,willikies-fc,antigua-and-barbuda
212,Greenbay Hoppers,459376,greenbay-hoppers,antigua-and-barbuda
213,Barracas Central,65668,barracas-central,argentina
214,Central Córdoba,65676,central-cordoba,argentina
215,Boca Juniors,3202,boca-juniors,argentina
216,Club Atlético Unión de Santa Fe,3204,club-atletico-union,argentina
217,Defensa y Justicia,36839,defensa-y-justicia,argentina
218,Estudiantes de La Plata,3206,estudiantes-de-la-plata,argentina
219,Huracán,7629,huracan,argentina
220,Banfield,3219,banfield,argentina
221,Argentinos Juniors,3216,argentinos-juniors,argentina
222,Independiente Rivadavia,36842,independiente-rivadavia,argentina
223,Belgrano,3203,belgrano,argentina
224,Tigre,7628,tigre,argentina
