teamName,id,teamslug,teamorigin
The Strongest,32529,the-strongest,bolivia
Club Always Ready,268083,club-always-ready,bolivia
Bolívar,7059,bolivar,bolivia
Blooming,6968,blooming,bolivia
GV San José,505268,gv-san-jose-de-oruro,bolivia
Guabirá,47701,guabira,bolivia
CD San Antonio,396625,san-antonio-bulo-bulo,bolivia
Club Independiente,372975,independiente-petrolero,bolivia
Nacional Potosí,47700,nacional-potosi,bolivia
CD Totora Real Oruro,423186,cdt-real-oruro,bolivia
Club FC Universitario,268082,fc-universitario-de-vinto,bolivia
CD Real Tomayapo,335685,cd-real-tomayapo,bolivia
Oriente Petrolero,33820,oriente-petrolero,bolivia
Academia de Balompié Boliviano,423188,academia-del-balompie-boliviano,bolivia
Jorge Wilstermann,7878,jorge-wilstermann,bolivia
Club Aurora,33714,club-aurora,bolivia
SK Rapid Wien,2055,sk-rapid-wien,austria
Red Bull Salzburg,2046,red-bull-salzburg,austria
SK Sturm Graz,2051,sk-sturm-graz,austria
WSG Tirol,5405,wsg-tirol,austria
SC Rheindorf Altach,4856,sc-rheindorf-altach,austria
Wolfsberger AC,2076,wolfsberger-ac,austria
SV Ried,2049,sv-ried,austria
TSV Hartberg,2075,tsv-hartberg,austria
Austria Wien,2203,austria-wien,austria
Grazer AK 1902,2052,grazer-ak-1902,austria
LASK,2058,lask,austria
FC Blau Weiss Linz,2113,fc-blau-weiss-linz,austria
FK Krasnodar,34425,fc-krasnodar,russia
CSKA Moscow,2325,cska-moscow,russia
Baltika Kaliningrad,7517,baltika-kaliningrad,russia
Lokomotiv Moscow,2320,lokomotiv-moscow,russia
Zenit St. Petersburg,2321,zenit-st-petersburg,russia
FC Spartak Moscow,2323,fc-spartak-moscow,russia
Rubin Kazan,2333,rubin-kazan,russia
Krylya Sovetov Samara,2322,krylya-sovetov-samara,russia
Dynamo Moscow,2315,dynamo-moscow,russia
Akhmat Grozny,5131,akhmat-grozny,russia
Dinamo Makhachkala,362016,dinamo-makhachkala,russia
Orenburg,24118,orenburg,russia
Akron Togliatti,285689,akron-togliatti,russia
FC Rostov,2326,fc-rostov,russia
Pari Nizhny Novgorod,201654,pari-nizhny-novgorod,russia
FC Sochi,2334,fc-sochi,russia
Coquimbo Unido,3165,coquimbo-unido,chile
Palestino,3157,palestino,chile
Universidad de Chile,3161,universidad-de-chile,chile
O'Higgins,3163,ohiggins,chile
Audax Italiano,3162,audax-italiano,chile
Universidad Católica,3151,universidad-catolica,chile
Cobresal,3167,cobresal,chile
Colo Colo,3155,colo-colo,chile
Huachipato,3164,huachipato,chile
Ñublense,7029,nublense,chile
Unión La Calera,48242,union-la-calera,chile
Everton de Viña del Mar,5032,everton-de-vina-del-mar,chile
Deportes La Serena,5031,deportes-la-serena,chile
Deportes Limache,331131,deportes-limache,chile
Unión Española,3153,union-espanola,chile
Deportes Iquique,33596,deportes-iquique,chile
