playerName,playercountry,teamid
Luis Ramos,Peru,6102
Rodrigo Holgado,Malaysia,6102
Jan Lucumí,Colombia,6102
Kevin Angulo,Colombia,6102
Yojhan Garces,Colombia,6102
Joel Sebastian Romero,Colombia,6102
Camilo Quinones,,6102
Victor Barona,,6102
Jhon Murillo,Venezuela,6102
Dylan Borrero,Colombia,6102
Éder Balanta,Colombia,6102
Rafael Carrascal,Colombia,6102
Cristian Barrios,Colombia,6102
Josen David Escobar del Duca,Colombia,6102
Kener González,Colombia,6102
Andrés Tello,Colombia,6102
Sebastián Navarro,Colombia,6102
José Cavadia,Colombia,6102
Franco Leys,Argentina,6102
Luis Alejandro Paz,Colombia,6102
Jerónimo López,Colombia,6102
Nicolás Hernández,Colombia,6102
Yerson Candelo,Colombia,6102
Daniel Bocanegra,Colombia,6102
Marcos Mina,Colombia,6102
Jean Carlos Pestaña,Colombia,6102
Andrés Mosquera,Colombia,6102
Omar Bertel,Colombia,6102
Mateo Castillo Márquez,Colombia,6102
Cristian Tovar,Colombia,6102
Manuel Caicedo,Colombia,6102
Sebastián Quiñones,Colombia,6102
Brayan Correa,Colombia,6102
Joel Graterol,Venezuela,6102
Santiago Silva,Uruguay,6102
David Quintero,Colombia,6102
Tilman Palacios,,6102
Leonardo Castro,Colombia,6117
Bruno Sávio,Brazil,6117
Jorge Hurtado,Colombia,6117
Santiago Giordana,Argentina,6117
Beckham Castro,Colombia,6117
Luis Marimón,Colombia,6117
Cristian Cañozales,Colombia,6117
Juan Carvajal,Colombia,6117
Sebastián del Castillo,Colombia,6117
Ramiro Brochero,Colombia,6117
Juan Esteban Carvajal,Colombia,6117
Brayan Cuero,Colombia,6117
David Macalister Silva,Colombia,6117
Edwin Mosquera,Colombia,6117
Nicolas Arevalo,Colombia,6117
Stiven Vega,Colombia,6117
Juan Ramirez,Colombia,6117
Alex Castro,Colombia,6117
Juan Pereira,Colombia,6117
Dewar Victoria,Colombia,6117
Juan Pablo Vargas,Costa Rica,6117
Helibelton Palacios,Colombia,6117
Andrés Llinás,Colombia,6117
Jhoan Hernandez,Colombia,6117
Jorge Arias,Colombia,6117
Danovis Banguero,Colombia,6117
Sander Navarro,Colombia,6117
Sergio Mosquera,Colombia,6117
Alex Moreno,Colombia,6117
Nicolás Giraldo,Colombia,6117
Iván Arboleda,Colombia,6117
Guillermo De Amores,Uruguay,6117
Diego Novoa,Colombia,6117
Cristian Quinones,Colombia,6117
Jonathan Gonzalez,Colombia,6117
Samuel Martín,,6117
Carlos Bacca,Colombia,6105
Teófilo Gutiérrez,Colombia,6105
Guillermo Paiva,Paraguay,6105
Déiber Caicedo,Colombia,6105
Steven Rodríguez,Colombia,6105
Joel Canchimbo,Colombia,6105
Fredy Salazar,Colombia,6105
Stiwart Acuña,Colombia,6105
Yeferson Mosquera Moreno,Colombia,6105
Ferlys Fernando Garcia Duarte,,6105
Alexander Licona Iriarte,Colombia,6105
Yimmi Chará,Colombia,6105
José Enamorado,Colombia,6105
Bryan Castrillón,Colombia,6105
Fabián Ángel,Colombia,6105
Jesús Rivas,Colombia,6105
Jesús Díaz,Colombia,6105
Didier Moreno,Colombia,6105
Miguel Agamez,Colombia,6105
Guillermo Celis,Colombia,6105
Harold Rivera,Colombia,6105
Carlos Esparragoza,Colombia,6105
Diego Andres Mendoza Benitez,Colombia,6105
Christian Javier Báez,Paraguay,6105
Jeison Suárez,Colombia,6105
Jermein Peña,Colombia,6105
Edwin Herrera,Colombia,6105
Lucas Monzón,Uruguay,6105
Daniel Rivera,Colombia,6105
Jhomier Guerrero,Colombia,6105
Jhon Navia,Colombia,6105
José Cuenú,Colombia,6105
Mauro Silveira,Uruguay,6105
Jefersson Martínez,Colombia,6105
Jaime Acosta,Colombia,6105
Sebastián Araujo Lemuz,Colombia,6105
Sebastián Borja,Colombia,6105
Carlos Olmos,,6105
Gonzalo Lencina,Argentina,6111
Adrián Parra,Colombia,6111
Jeinner Fuentes,Colombia,6111
Bruno Larregui,Uruguay,6111
Sebastián Guzmán,Colombia,6111
Juan Torres,Colombia,6111
Brayan Rovira,Colombia,6111
Jersson González,Colombia,6111
Ever Valencia,Colombia,6111
Juan Pablo Nieto,Colombia,6111
Kevin Pérez,Colombia,6111
Cristian Arrieta,Colombia,6111
Cristian Trujillo,Colombia,6111
Mauricio González,Colombia,6111
Jeison David Mena Victoria,Colombia,6111
Victor Reyes,Colombia,6111
Michell Perez,Colombia,6111
Jader Andres Quinones Caicedo,,6111
Juan Perez,,6111
Samuel Velásquez,Colombia,6111
Junior Hernández,Colombia,6111
Marlon Torres,Colombia,6111
Yhorman Hurtado,Colombia,6111
Anderson Angulo,Colombia,6111
Juan Mera,Colombia,6111
Jhon Quiñónes,Colombia,6111
Cristian Guzmn,Colombia,6111
Michael Martínez,Colombia,6111
Cristopher Fiermarín,Uruguay,6111
Neto Volpi,Brazil,6111
William Cuesta,Colombia,6111
Jhon Azcarate,Colombia,6111
K Reyes,,6111
Pineda Pineda,,6111
Y Parra,,6111
Alfredo Morelos,Colombia,6106
Marlos Moreno,Colombia,6106
Facundo Batista,Uruguay,6106
Dairon Asprilla,Colombia,6106
Juan Rosa,Colombia,6106
Juan Manuel Rengifo,Colombia,6106
Marino Hinestroza,Colombia,6106
Edwin Cardona,Colombia,6106
Matheus Uribe,Colombia,6106
Jorman Campuzano,Colombia,6106
Billy Arce,Ecuador,6106
Juan Zapata,Colombia,6106
Juan Bauza,Argentina,6106
Andrés Sarmiento,Colombia,6106
Elkin Rivero,Colombia,6106
Kilian Toscano,Colombia,6106
Luis Miguel Landázuri,Colombia,6106
Yair Mena,Colombia,6106
Juan Obando,Colombia,6106
Andrés Román,Colombia,6106
William Tesillo,Colombia,6106
Camilo Cándido,Uruguay,6106
César Haydar,Colombia,6106
Andrés Salazar,Colombia,6106
Simon Garcia,Colombia,6106
