,playerName,playercountry,team,teamid,teamorigin
0,Kenedy,Brazil,CF Pachuca,1936,mexico
1,Alemão,Brazil,CF Pachuca,1936,mexico
2,Luis Quiñones,Colombia,CF Pachuca,1936,mexico
3,Illian Hernandez,Mexico,CF Pachuca,1936,mexico
4,Daniel Méndez,Guatemala,CF Pachuca,1936,mexico
5,Oussama Idrissi,Morocco,CF Pachuca,1936,mexico
6,William Carvalho,Portugal,CF Pachuca,1936,mexico
7,Elías Montiel,Mexico,CF Pachuca,1936,mexico
8,Víctor Guzmán,Mexico,CF Pachuca,1936,mexico
9,Alexei Domínguez,Mexico,CF Pachuca,1936,mexico
10,Gastón Togni,Argentina,CF Pachuca,1936,mexico
11,Javier López,Mexico,CF Pachuca,1936,mexico
12,Alan Bautista,Mexico,CF Pachuca,1936,mexico
13,Pedro Pedraza,Mexico,CF Pachuca,1936,mexico
14,Juan Sigala,Mexico,CF Pachuca,1936,mexico
15,Israel Luna,Mexico,CF Pachuca,1936,mexico
16,Ari Contreras,Mexico,CF Pachuca,1936,mexico
17,Sergio Rodríguez,Mexico,CF Pachuca,1936,mexico
18,Eduardo Bauermann,Brazil,CF Pachuca,1936,mexico
19,Daniel Aceves,Mexico,CF Pachuca,1936,mexico
20,Andres Micolta,Ecuador,CF Pachuca,1936,mexico
21,Sergio Barreto,Argentina,CF Pachuca,1936,mexico
22,Luís Rodríguez,Mexico,CF Pachuca,1936,mexico
23,Brian García,Mexico,CF Pachuca,1936,mexico
24,Carlos Sánchez,Mexico,CF Pachuca,1936,mexico
25,Jorge Berlanga,Mexico,CF Pachuca,1936,mexico
26,Carlos Moreno,Mexico,CF Pachuca,1936,mexico
27,Jose Eulogio,Mexico,CF Pachuca,1936,mexico
28,Paulinho,Portugal,CD Toluca,1931,mexico
29,Robert Morales,Paraguay,CD Toluca,1931,mexico
30,Alek Álvarez,Mexico,CD Toluca,1931,mexico
31,Oswaldo Virgen,Mexico,CD Toluca,1931,mexico
32,Alexis Vega,Mexico,CD Toluca,1931,mexico
33,Héctor Herrera,Mexico,CD Toluca,1931,mexico
34,Helinho,Brazil,CD Toluca,1931,mexico
35,Marcel Ruíz,Mexico,CD Toluca,1931,mexico
36,Santiago Simón,Argentina,CD Toluca,1931,mexico
37,Nicolás Castro,Argentina,CD Toluca,1931,mexico
38,Jesús Ricardo Angulo,Mexico,CD Toluca,1931,mexico
39,Franco Romero,Argentina,CD Toluca,1931,mexico
40,Juan Dominguez,Mexico,CD Toluca,1931,mexico
41,Fernando Arce Juárez,USA,CD Toluca,1931,mexico
42,Bruno Méndez,Uruguay,CD Toluca,1931,mexico
43,Luan Garcia,Brazil,CD Toluca,1931,mexico
44,Jesús Gallardo,Mexico,CD Toluca,1931,mexico
45,Federico Pereira,Uruguay,CD Toluca,1931,mexico
46,Antonio Briseño,Mexico,CD Toluca,1931,mexico
47,Diego Barbosa,Mexico,CD Toluca,1931,mexico
48,Mauricio Andre Isais,Mexico,CD Toluca,1931,mexico
49,Everardo López,Mexico,CD Toluca,1931,mexico
50,Wanderson Barros de Sousa,Brazil,CD Toluca,1931,mexico
51,Hugo Gonzalez,Mexico,CD Toluca,1931,mexico
52,Luis García,Mexico,CD Toluca,1931,mexico
53,Jose Estrada,,CD Toluca,1931,mexico
54,Ángel Correa,Argentina,Tigres UANL,1940,mexico
55,André-Pierre Gignac,France,Tigres UANL,1940,mexico
56,Uriel Antuna,Mexico,Tigres UANL,1940,mexico
57,Nicolás Ibáñez,Argentina,Tigres UANL,1940,mexico
58,Ozziel Herrera,Mexico,Tigres UANL,1940,mexico
59,Ivan López,Mexico,Tigres UANL,1940,mexico
60,Diego Lainez,Mexico,Tigres UANL,1940,mexico
61,Juan Brunetta,Argentina,Tigres UANL,1940,mexico
62,Marcelo Flores,Mexico,Tigres UANL,1940,mexico
63,Sebastián Córdova,Mexico,Tigres UANL,1940,mexico
64,Fernando Gorriarán,Uruguay,Tigres UANL,1940,mexico
65,Rômulo Zwarg,Brazil,Tigres UANL,1940,mexico
66,Eugenio Pizzuto,Mexico,Tigres UANL,1940,mexico
67,Juan Vigón,Mexico,Tigres UANL,1940,mexico
68,Bernardo Parra,Mexico,Tigres UANL,1940,mexico
69,Joaquim,Brazil,Tigres UANL,1940,mexico
70,Jesús Angulo,Mexico,Tigres UANL,1940,mexico
71,Javier Aquino,Mexico,Tigres UANL,1940,mexico
72,Juan José Purata,Mexico,Tigres UANL,1940,mexico
73,Jesus Garza,Mexico,Tigres UANL,1940,mexico
74,Marco Farfan,USA,Tigres UANL,1940,mexico
75,Rafael Guerrero,Mexico,Tigres UANL,1940,mexico
76,Vladimir Loroña,Mexico,Tigres UANL,1940,mexico
77,Osvaldo Rodríguez,Mexico,Tigres UANL,1940,mexico
78,Eduardo Tercero,Mexico,Tigres UANL,1940,mexico
79,Fernando Ordonez,Mexico,Tigres UANL,1940,mexico
80,Nahuel Guzmán,Argentina,Tigres UANL,1940,mexico
81,Fernando Tapia,Mexico,Tigres UANL,1940,mexico
82,Antonio Carrera,USA,Tigres UANL,1940,mexico
83,Carlos Rodríguez,Mexico,Tigres UANL,1940,mexico
84,Germán Berterame,Mexico,CF Monterrey,1932,mexico
85,Roberto de la Rosa,Mexico,CF Monterrey,1932,mexico
86,Lucas Ocampos,Argentina,CF Monterrey,1932,mexico
87,Sergio Canales,Spain,CF Monterrey,1932,mexico
88,Jesús Corona,Mexico,CF Monterrey,1932,mexico
89,Óliver Torres,Spain,CF Monterrey,1932,mexico
90,Jorge Rodríguez,Argentina,CF Monterrey,1932,mexico
91,Fidel Ambríz,Mexico,CF Monterrey,1932,mexico
92,Iker Fimbres,Mexico,CF Monterrey,1932,mexico
93,Michell Rodríguez,Mexico,CF Monterrey,1932,mexico
94,Pedro Jair Ramírez Orta,Mexico,CF Monterrey,1932,mexico
95,Sergio Ramos,Spain,CF Monterrey,1932,mexico
96,Gerardo Arteaga,Mexico,CF Monterrey,1932,mexico
97,Stefan Medina,Colombia,CF Monterrey,1932,mexico
98,Héctor Moreno,Mexico,CF Monterrey,1932,mexico
99,Victor Guzmán,Mexico,CF Monterrey,1932,mexico
100,Carlos Salcedo,Mexico,CF Monterrey,1932,mexico
101,Érick Aguirre,Mexico,CF Monterrey,1932,mexico
102,Antonio Leone,Mexico,CF Monterrey,1932,mexico
103,Luis Reyes,Mexico,CF Monterrey,1932,mexico
104,Ricardo Chávez,Mexico,CF Monterrey,1932,mexico
105,César Bustos,Mexico,CF Monterrey,1932,mexico
106,Luis Sanchez,,CF Monterrey,1932,mexico
107,Santiago Mele,Uruguay,CF Monterrey,1932,mexico
108,Esteban Andrada,Argentina,CF Monterrey,1932,mexico
109,Luis Cárdenas,Mexico,CF Monterrey,1932,mexico
110,Santiago Perez-Meraz,Mexico,CF Monterrey,1932,mexico
111,Luka Romero,Argentina,Cruz Azul,1947,mexico
112,Mateusz Bogusz,Poland,Cruz Azul,1947,mexico
113,Ángel Sepúlveda,Mexico,Cruz Azul,1947,mexico
114,José Paradela,Argentina,Cruz Azul,1947,mexico
115,Gabriel Fernández,Uruguay,Cruz Azul,1947,mexico
116,Bryan Gamboa,Mexico,Cruz Azul,1947,mexico
117,Fernando Sámano,Mexico,Cruz Azul,1947,mexico
118,Carlos Rotondi,Argentina,Cruz Azul,1947,mexico
119,Carlos Rodríguez,Mexico,Cruz Azul,1947,mexico
120,José Rivero,Uruguay,Cruz Azul,1947,mexico
121,Lorenzo Faravelli,Argentina,Cruz Azul,1947,mexico
122,Amaury Morales,Mexico,Cruz Azul,1947,mexico
123,Jeremy Márquez,Mexico,Cruz Azul,1947,mexico
124,Andres Montaño,Mexico,Cruz Azul,1947,mexico
125,Amaury Garcia Moreno,Mexico,Cruz Azul,1947,mexico
126,Cristian Jiménez,Mexico,Cruz Azul,1947,mexico
127,Jorge Sánchez,Mexico,Cruz Azul,1947,mexico
128,Willer Ditta,Colombia,Cruz Azul,1947,mexico
129,Jesús Orozco,Mexico,Cruz Azul,1947,mexico
130,Erik Lira,Mexico,Cruz Azul,1947,mexico
131,Gonzalo Piovi,Argentina,Cruz Azul,1947,mexico
132,Omar Campos,Mexico,Cruz Azul,1947,mexico
133,Carlos Vargas,Mexico,Cruz Azul,1947,mexico
134,Raymundo Rubio,Mexico,Cruz Azul,1947,mexico
135,Kevin Mier,Colombia,Cruz Azul,1947,mexico
136,Emmanuel Ochoa,Mexico,Cruz Azul,1947,mexico
137,Andrés Gudiño,Mexico,Cruz Azul,1947,mexico
138,Allan Saint-Maximin,France,Club América,1939,mexico
139,Henry Martín,Mexico,Club América,1939,mexico
140,Víctor Dávila,Chile,Club América,1939,mexico
141,Rodrigo Aguirre,Uruguay,Club América,1939,mexico
142,Raúl Zúñiga,Colombia,Club América,1939,mexico
143,Javairô Dilrosun,Netherlands,Club América,1939,mexico
144,Brian Rodríguez,Uruguay,Club América,1939,mexico
145,Alejandro Zendejas,USA,Club América,1939,mexico
146,Álvaro Fidalgo,Spain,Club América,1939,mexico
147,Erick Sánchez,Mexico,Club América,1939,mexico
148,Jonathan Dos Santos,Mexico,Club América,1939,mexico
149,Isaías Violante,Mexico,Club América,1939,mexico
150,Alan Cervantes,Mexico,Club América,1939,mexico
151,Alexis Gutiérrez,Mexico,Club América,1939,mexico
152,Santiago Naveda,Mexico,Club América,1939,mexico
153,Osvaldo Arriaga,Mexico,Club América,1939,mexico
154,Cristián Borja,Colombia,Club América,1939,mexico
155,Sebastián Cáceres,Uruguay,Club América,1939,mexico
156,Igor Lichnovsky,Chile,Club América,1939,mexico
157,Israel Reyes,Mexico,Club América,1939,mexico
158,Kevin Álvarez,Mexico,Club América,1939,mexico
159,Ramón Juárez,Mexico,Club América,1939,mexico
160,Néstor Araujo,Mexico,Club América,1939,mexico
161,Dagoberto Espinoza,Mexico,Club América,1939,mexico
162,Miguel Vazquez,Mexico,Club América,1939,mexico
163,Ralph Orquin,Mexico,Club América,1939,mexico
164,Luis Malagón,Mexico,Club América,1939,mexico
165,Rodolfo Cota,Mexico,Club América,1939,mexico
166,Diber Cambindo,Colombia,Club Necaxa,1944,mexico
167,Tomás Badaloni,Argentina,Club Necaxa,1944,mexico
168,Ricardo Monreal,Mexico,Club Necaxa,1944,mexico
169,Rogelio Cortéz Pineda,Mexico,Club Necaxa,1944,mexico
170,Agustín Palavecino,Argentina,Club Necaxa,1944,mexico
171,Johan Rojas,Colombia,Club Necaxa,1944,mexico
172,Kevin Rosero,Colombia,Club Necaxa,1944,mexico
173,Raúl Sánchez,Spain,Club Necaxa,1944,mexico
174,Diego de Buen,Mexico,Club Necaxa,1944,mexico
175,Alejandro Andrade,Mexico,Club Necaxa,1944,mexico
176,Pavel Perez,,Club Necaxa,1944,mexico
177,Tomas Jacob,,Club Necaxa,1944,mexico
178,Cristian Calderón,Mexico,Club Necaxa,1944,mexico
179,Emilio Lara,Mexico,Club Necaxa,1944,mexico
180,Jesus Alcantar,Mexico,Club Necaxa,1944,mexico
181,Agustín Oliveros,Uruguay,Club Necaxa,1944,mexico
182,Alexis Peña,Mexico,Club Necaxa,1944,mexico
183,Emilio Martinez,Mexico,Club Necaxa,1944,mexico
184,Franco Rossano,Mexico,Club Necaxa,1944,mexico
185,Alfredo Gutierrez,Mexico,Club Necaxa,1944,mexico
186,Ezequiel Unsaín,Argentina,Club Necaxa,1944,mexico
187,Rodrigo Castañeda,Mexico,Club Necaxa,1944,mexico
188,Fábio Gomes,Brazil,Mazatlán FC,1946,mexico
189,Nicolás Benedetti,Colombia,Mazatlán FC,1946,mexico
190,Anderson Duarte,Uruguay,Mazatlán FC,1946,mexico
191,Dudu,Brazil,Mazatlán FC,1946,mexico
192,Omar Moreno,Mexico,Mazatlán FC,1946,mexico
193,Anwar Ben Rhouma Torres,Mexico,Mazatlán FC,1946,mexico
194,Yostin Valadez Arce,Mexico,Mazatlán FC,1946,mexico
195,Gilberto Adame,Mexico,Mazatlán FC,1946,mexico
196,Yoel Bárcenas,Panama,Mazatlán FC,1946,mexico
197,Jordan Sierra,Ecuador,Mazatlán FC,1946,mexico
198,Jefferson Intriago,Ecuador,Mazatlán FC,1946,mexico
199,Sebastian Fierro,Mexico,Mazatlán FC,1946,mexico
200,Alberto Herrera,Mexico,Mazatlán FC,1946,mexico
201,Jesús Hernández,Mexico,Mazatlán FC,1946,mexico
202,Mauro Laínez,Mexico,Mazatlán FC,1946,mexico
203,Alan Torres,Mexico,Mazatlán FC,1946,mexico
204,Jorge Luis García Rivas,Mexico,Mazatlán FC,1946,mexico
205,Roberto Meraz,Mexico,Mazatlán FC,1946,mexico
206,Facundo Almada,Argentina,Mazatlán FC,1946,mexico
207,Lucas Merolla,Argentina,Mazatlán FC,1946,mexico
208,José Joaquín Esquivel,Mexico,Mazatlán FC,1946,mexico
209,Jair Díaz,Mexico,Mazatlán FC,1946,mexico
210,Bryan Colula,Mexico,Mazatlán FC,1946,mexico
211,Salvador Rodriguez,Mexico,Mazatlán FC,1946,mexico
212,Angel Leyva,Mexico,Mazatlán FC,1946,mexico
213,Christopher Castro,Mexico,Mazatlán FC,1946,mexico
214,Zaleta Oropeza Zaleta,,Mazatlán FC,1946,mexico
215,Brian Aguas,Mexico,Mazatlán FC,1946,mexico
216,Ricardo Gutierrez,Mexico,Mazatlán FC,1946,mexico
217,André Alcaraz,Mexico,Mazatlán FC,1946,mexico
218,Uroš Đurđević,Montenegro,Atlas FC,1949,mexico
219,Diego González,Paraguay,Atlas FC,1949,mexico
220,Eduardo Aguirre,Mexico,Atlas FC,1949,mexico
221,Matías Cóccaro,Uruguay,Atlas FC,1949,mexico
222,Gustavo del Prete,Argentina,Atlas FC,1949,mexico
223,Mauro Manotas,Colombia,Atlas FC,1949,mexico
224,Arturo González,Mexico,Atlas FC,1949,mexico
225,Mateo García,Argentina,Atlas FC,1949,mexico
226,Aldo Rocha,Mexico,Atlas FC,1949,mexico
227,Jose Rivaldo Lozano,Mexico,Atlas FC,1949,mexico
228,Edyairth Ortega,Mexico,Atlas FC,1949,mexico
229,Alonso Ramirez,Mexico,Atlas FC,1949,mexico
230,Dória,Brazil,Atlas FC,1949,mexico
231,Gustavo Ferrareis,Brazil,Atlas FC,1949,mexico
232,Róber Pier,Spain,Atlas FC,1949,mexico
233,Jorge Rodríguez,Mexico,Atlas FC,1949,mexico
234,Gaddi Aguirre,Mexico,Atlas FC,1949,mexico
235,Edgar Zaldívar,Mexico,Atlas FC,1949,mexico
236,Carlos Orrantia,Mexico,Atlas FC,1949,mexico
237,Carlos Robles,Mexico,Atlas FC,1949,mexico
238,Camilo Vargas,Colombia,Atlas FC,1949,mexico
239,César Ramos,Mexico,Atlas FC,1949,mexico
240,Antonio Sánchez,Mexico,Atlas FC,1949,mexico
