,slug_country,tournament,id,slug_torn
0,mexico,"Liga MX, Apertura",11621,liga-mx-apertura
1,mexico,"Liga MX, Clausura",11620,liga-mx-clausura
2,mexico,"Liga de Expansión MX, Apertura",11611,liga-de-expansion-mx-apertura
3,mexico,"Liga de Expansión MX, Clausura",11612,liga-de-expansion-mx-clausura
4,mexico,Copa MX,1598,copa-mx
5,mexico,Trofeo de Campeon de Campeones,2103,trofeo-de-campeon-de-campeones
6,mexico,U20 Liga MX,10417,u20-liga-mx
7,mexico,"Liga MX, Women, Apertura",13593,liga-mx-women-apertura
8,mexico,"Liga MX, Women, Clausura",13592,liga-mx-women-clausura
9,mexico,"U23 Liga MX, Apertura",20710,u23-liga-mx-apertura
10,mexico,Liga Premier Serie A,20870,liga-premier-serie-a
11,mexico,Liga Premier Serie B,20871,liga-premier-serie-b
12,mexico,Campeon de Campeones Liga Expansion MX,26927,campeon-de-campeones-liga-expansion-mx
13,mexico,"Mexico U19 League, Apertura",27969,mexico-u19-league-apertura
14,mexico,"Mexico U19 League, Clausura",24257,liga-mx-u19
15,mexico,U21 Liga MX,28306,u21-liga-mx
16,england,Premier League,17,premier-league
17,england,Championship,18,championship
18,england,League One,24,league-one
19,england,League Two,25,league-two
20,england,National League,173,national-league
21,england,FA Cup,19,fa-cup
22,england,"FA Cup, Qualification",1696,fa-cup-qualification
23,england,EFL Cup,21,efl-cup
24,england,Football League Trophy,334,football-league-trophy
25,england,FA Women's Championship,10553,fa-womens-championship
26,england,Community Shield,346,community-shield
27,england,Women's Super League,1044,the-fa-womens-super-league
28,england,Women's FA Cup,11666,fa-cup-women
29,england,FA Women's League Cup,11667,fa-womens-league-cup
30,england,England National League Cup,24029,england-national-league-cup
31,england,Baller League UK,25492,baller-league-uk
32,england,FA Youth Cup,24640,fa-youth-cup
33,spain,LaLiga,8,laliga
34,spain,LaLiga 2,54,laliga-2
35,spain,Primera Federación,17073,primera-federacion
36,spain,Segunda Federación,544,segunda-federacion
37,spain,Copa del Rey,329,copa-del-rey
38,spain,Supercopa de España,213,supercopa-de-espana
39,spain,Liga F Moeve,1127,liga-f
40,spain,Copa Federación,11618,copa-federacion
41,spain,Supercopa Femenina,14687,supercopa-femenina
42,spain,Copa de SM La Reina,11126,copa-de-sm-la-reina
43,spain,División de Honor Juvenil,23232,division-de-honor-juvenil
44,spain,Primera Federacion Women,27917,primera-federacion-women
45,spain,Segunda Federación Femenina,23600,segunda-federacion-femenina
46,spain,Spain U19 Cup,24619,spain-u19-cup
47,germany,Bundesliga,35,bundesliga
48,germany,2. Bundesliga,44,2-bundesliga
49,germany,3. Liga,491,3-liga
50,germany,DFB Pokal,217,dfb-pokal
51,germany,DFL Supercup,799,super-cup
52,germany,Frauen-Bundesliga,232,frauen-bundesliga
53,germany,2. Frauen-Bundesliga,2288,2-frauen-bundesliga
54,germany,"DFB Pokal, Women",686,dfb-pokal-women
55,germany,Kings League Germany,25874,kings-league-germany
56,italy,Serie A,23,serie-a
57,italy,Serie B,53,serie-b
58,italy,Coppa Italia,328,coppa-italia
59,italy,Supercoppa Italiana,341,supercoppa-italiana
60,italy,"Serie C, Girone A",11445,serie-c-girone-a
61,italy,"Serie C, Girone B",11447,serie-c-girone-b
62,italy,"Serie C, Girone C",11446,serie-c-girone-c
63,italy,"Serie C, Playoffs",11452,serie-c-playoffs
64,italy,"Serie C, Play-out",13579,serie-c-play-out
65,italy,Coppa Italia Serie C,824,coppa-italia-serie-c
66,italy,Supercoppa Serie C,884,supercoppa-serie-c
67,italy,"Serie D, Girone A",1374,serie-d-girone-a
68,italy,"Serie D, Girone B",1376,serie-d-girone-b
69,italy,"Serie D, Girone C",1378,serie-d-girone-c
70,italy,"Serie D, Girone D",1380,serie-d-girone-d
71,italy,"Serie D, Girone E",1382,serie-d-girone-e
72,italy,"Serie D, Girone F",1384,serie-d-girone-f
