slug_country,tournament,id,slug_torn
mexico,"Liga MX, Apertura",11621,liga-mx-apertura
england,Premier League,17,premier-league
spain,LaLiga,8,laliga
germany,Bundesliga,35,bundesliga
italy,Serie A,23,serie-a
france,Ligue 1,34,ligue-1
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league
albania,Abissnet Superiore,720,abissnet-superiore
algeria,Algerian Ligue 1,841,ligue-1
american-samoa,FFAS Senior League,21134,ffas-senior-league
andorra,Primera Divisió,742,primera-divisio
angola,Girabola,2308,girabola
anguilla,AFA Senior Male League,16721,afa-senior-male-league
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol
armenia,Armenian Premier League,671,idbank-premier-league
aruba,Division di Honor,19345,division-di-honor
australia,A-League Men,136,a-league-men
azerbaijan,Misli Premier League,709,misli-premier-league
bahamas,BFA Senior League,19511,bfa-senior-league
bahrain,Bahraini Premier League,846,premier-league
bangladesh,Bangladesh Football Premier League,13331,premier-league
barbados,BFA Premier League,20208,bfa-premier-league
belarus,Vysshaya Liga,169,vysshaya-liga
belgium,Pro League,38,pro-league
belize,Premier League of Belize,21115,premier-league-of-belize
benin,Celtiis Ligue Pro,22542,ligue-pro-benin
bermuda,Premier Division,23807,bermuda-premier-division
bhutan,Bhutan Premier League,22397,bhutan-premier-league
bosnia-herzegovina,WWIN Liga BiH,222,wwin-premijer-liga
botswana,Botswana Premier League,11420,premier-league
brazil,Brasileirão Betano,325,brasileirao-serie-a
british-virgin-islands,BVIFA National League,19950,bvifa-national-league
brunei,Super League,17017,super-league
bulgaria,Parva Liga,247,parva-liga
burundi,Primus League,16663,primus-league
cambodia,Cambodian Premier League,10741,cambodian-premier-league
cameroon,Elite One,1006,elite-one
canada,Canadian Premier League,13470,canadian-premier-league
cape-verde,Campeonato Nacional,18728,campeonato-nacional
cayman-islands,CIFA Premier League,21826,cifa-premier-league
chad,Première Division de N’Djaména,22106,premiere-division-de-n-djamena
china,Chinese Super League,649,cfa-super-league
chinese-taipei,Mulan Football League,22252,mulan-football-league
colombia,"Primera A, Apertura",11539,primera-a-apertura
comoros,Comoros Premier League,21979,comoros-premier-league
congo-republic,Congo Ligue 1,10784,premier-league
cook-islands,Round Cup,21537,round-cup
costa-rica,"Primera División, Apertura",11535,primera-division-apertura
croatia,HNL,170,hnl
curacao,Promé Divishon,16704,prome-divishon
cyprus,Cyprus League by Stoiximan,171,1-division
