slug_country,tournament,leagueid,slug_torn,teamName,teamid,teamslug,teamorigin
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,1932,cf-monterrey,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,1939,club-america,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Cruz Azul,1947,cruz-azul,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Tigres UANL,1940,tigres-uanl,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CD Toluca,1931,deportivo-toluca-fc,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Pachuca,1936,cf-pachuca,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club Tijuana,36525,club-tijuana,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,FC Juárez,201624,fc-juarez,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club León,36534,club-leon,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Pumas UNAM,1933,pumas-unam,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Santos Laguna,1948,santos-laguna,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Mazatlán FC,1946,mazatlan-fc,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Atlético San Luis,1950,atletico-san-luis,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Atlas FC,1949,atlas-fc,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club Necaxa,1944,club-necaxa,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CD Guadalajara,1938,cd-guadalajara,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Querétaro FC,1951,queretaro-fc,mexico
mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club Puebla,1941,club-puebla,mexico
england,Premier League,17,premier-league,Liverpool,44,liverpool,england
england,Premier League,17,premier-league,Chelsea,38,chelsea,england
england,Premier League,17,premier-league,Arsenal,42,arsenal,england
england,Premier League,17,premier-league,Tottenham Hotspur,33,tottenham-hotspur,england
england,Premier League,17,premier-league,Everton,48,everton,england
england,Premier League,17,premier-league,Sunderland,41,sunderland,england
england,Premier League,17,premier-league,Bournemouth,60,bournemouth,england
england,Premier League,17,premier-league,Crystal Palace,7,crystal-palace,england
england,Premier League,17,premier-league,Manchester United,35,manchester-united,england
england,Premier League,17,premier-league,Nottingham Forest,14,nottingham-forest,england
england,Premier League,17,premier-league,Brighton & Hove Albion,30,brighton-and-hove-albion,england
england,Premier League,17,premier-league,Leeds United,34,leeds-united,england
england,Premier League,17,premier-league,Manchester City,17,manchester-city,england
england,Premier League,17,premier-league,Burnley,6,burnley,england
england,Premier League,17,premier-league,Brentford,50,brentford,england
england,Premier League,17,premier-league,West Ham United,37,west-ham-united,england
england,Premier League,17,premier-league,Newcastle United,39,newcastle-united,england
england,Premier League,17,premier-league,Fulham,43,fulham,england
england,Premier League,17,premier-league,Aston Villa,40,aston-villa,england
england,Premier League,17,premier-league,Wolverhampton,3,wolverhampton,england
spain,LaLiga,8,laliga,Real Madrid,2829,real-madrid,spain
spain,LaLiga,8,laliga,Athletic Club,2825,athletic-club,spain
spain,LaLiga,8,laliga,Villarreal,2819,villarreal,spain
spain,LaLiga,8,laliga,Barcelona,2817,barcelona,spain
spain,LaLiga,8,laliga,Espanyol,2814,espanyol,spain
spain,LaLiga,8,laliga,Getafe,2859,getafe,spain
spain,LaLiga,8,laliga,Elche,2846,elche,spain
spain,LaLiga,8,laliga,Real Betis,2816,real-betis,spain
spain,LaLiga,8,laliga,Valencia,2828,valencia,spain
spain,LaLiga,8,laliga,Rayo Vallecano,2818,rayo-vallecano,spain
spain,LaLiga,8,laliga,Deportivo Alavés,2885,deportivo-alaves,spain
spain,LaLiga,8,laliga,Sevilla,2833,sevilla,spain
spain,LaLiga,8,laliga,Osasuna,2820,osasuna,spain
spain,LaLiga,8,laliga,Celta Vigo,2821,celta-vigo,spain
spain,LaLiga,8,laliga,Real Oviedo,2851,real-oviedo,spain
spain,LaLiga,8,laliga,Atlético Madrid,2836,atletico-madrid,spain
spain,LaLiga,8,laliga,Real Sociedad,2824,real-sociedad,spain
spain,LaLiga,8,laliga,Mallorca,2826,mallorca,spain
spain,LaLiga,8,laliga,Levante UD,2849,levante-ud,spain
spain,LaLiga,8,laliga,Girona FC,24264,girona-fc,spain
germany,Bundesliga,35,bundesliga,FC Bayern München,2672,fc-bayern-munchen,germany
germany,Bundesliga,35,bundesliga,Eintracht Frankfurt,2674,eintracht-frankfurt,germany
germany,Bundesliga,35,bundesliga,1. FC Köln,2671,1-fc-koln,germany
germany,Bundesliga,35,bundesliga,Borussia Dortmund,2673,borussia-dortmund,germany
germany,Bundesliga,35,bundesliga,FC St. Pauli,2526,fc-st-pauli,germany
germany,Bundesliga,35,bundesliga,VfL Wolfsburg,2524,vfl-wolfsburg,germany
germany,Bundesliga,35,bundesliga,FC Augsburg,2600,fc-augsburg,germany
germany,Bundesliga,35,bundesliga,VfB Stuttgart,2677,vfb-stuttgart,germany
germany,Bundesliga,35,bundesliga,TSG Hoffenheim,2569,tsg-hoffenheim,germany
germany,Bundesliga,35,bundesliga,1. FC Union Berlin,2547,1-fc-union-berlin,germany
germany,Bundesliga,35,bundesliga,RB Leipzig,36360,rb-leipzig,germany
germany,Bundesliga,35,bundesliga,Bayer 04 Leverkusen,2681,bayer-04-leverkusen,germany
germany,Bundesliga,35,bundesliga,1. FSV Mainz 05,2556,1-fsv-mainz-05,germany
germany,Bundesliga,35,bundesliga,Borussia M'gladbach,2527,borussia-mgladbach,germany
germany,Bundesliga,35,bundesliga,Hamburger SV,2676,hamburger-sv,germany
germany,Bundesliga,35,bundesliga,SV Werder Bremen,2534,sv-werder-bremen,germany
germany,Bundesliga,35,bundesliga,1. FC Heidenheim,5885,1-fc-heidenheim,germany
germany,Bundesliga,35,bundesliga,SC Freiburg,2538,sc-freiburg,germany
italy,Serie A,23,serie-a,Juventus,2687,juventus,italy
italy,Serie A,23,serie-a,Napoli,2714,napoli,italy
italy,Serie A,23,serie-a,Cremonese,2761,cremonese,italy
italy,Serie A,23,serie-a,Roma,2702,roma,italy
italy,Serie A,23,serie-a,Udinese,2695,udinese,italy
italy,Serie A,23,serie-a,Inter,2697,inter,italy
italy,Serie A,23,serie-a,Lazio,2699,lazio,italy
italy,Serie A,23,serie-a,Milan,2692,milan,italy
italy,Serie A,23,serie-a,Como,2704,como,italy
italy,Serie A,23,serie-a,Bologna,2685,bologna,italy
italy,Serie A,23,serie-a,Atalanta,2686,atalanta,italy
italy,Serie A,23,serie-a,Fiorentina,2693,fiorentina,italy
italy,Serie A,23,serie-a,Cagliari,2719,cagliari,italy
italy,Serie A,23,serie-a,Pisa,2737,pisa,italy
italy,Serie A,23,serie-a,Genoa,2713,genoa,italy
italy,Serie A,23,serie-a,Parma,2690,parma,italy
italy,Serie A,23,serie-a,Lecce,2689,lecce,italy
italy,Serie A,23,serie-a,Hellas Verona,2701,hellas-verona,italy
italy,Serie A,23,serie-a,Torino,2696,torino,italy
