playerName,playercountry,teamid
Germán Berterame,Mexico,1932
Roberto de la Rosa,Mexico,1932
Lucas Ocampos,Argentina,1932
Sergio Canales,Spain,1932
Jesús Corona,Mexico,1932
Óliver Torres,Spain,1932
Jorge Rodríguez,Argentina,1932
Fidel Ambríz,Mexico,1932
Iker Fimbres,Mexico,1932
Michell Rodríguez,Mexico,1932
Pedro Jair Ramírez Orta,Mexico,1932
Sergio Ramos,Spain,1932
Gerardo Arteaga,Mexico,1932
Stefan Medina,Colombia,1932
Héctor Moreno,Mexico,1932
Victor Guzmán,Mexico,1932
Carlos Salcedo,Mexico,1932
Érick Aguirre,Mexico,1932
Antonio Leone,Mexico,1932
Luis Reyes,Mexico,1932
Ricardo Chávez,Mexico,1932
César Bustos,Mexico,1932
Luis Sanchez,Mexico,1932
Santiago Mele,Uruguay,1932
Luis Cárdenas,Mexico,1932
Santiago Perez-Meraz,Mexico,1932
Allan Saint-Maximin,France,1939
Henry Martín,Mexico,1939
Víctor Dávila,Chile,1939
Rodrigo Aguirre,Uruguay,1939
Raúl Zúñiga,Colombia,1939
Javairô Dilrosun,Netherlands,1939
Brian Rodríguez,Uruguay,1939
Alejandro Zendejas,USA,1939
Álvaro Fidalgo,Spain,1939
Erick Sánchez,Mexico,1939
Jonathan Dos Santos,Mexico,1939
Isaías Violante,Mexico,1939
Alan Cervantes,Mexico,1939
Alexis Gutiérrez,Mexico,1939
Santiago Naveda,Mexico,1939
Osvaldo Arriaga,Mexico,1939
Cristián Borja,Colombia,1939
Sebastián Cáceres,Uruguay,1939
Igor Lichnovsky,Chile,1939
Israel Reyes,Mexico,1939
Kevin Álvarez,Mexico,1939
Ramón Juárez,Mexico,1939
Néstor Araujo,Mexico,1939
Emilio Lara,Mexico,1939
Dagoberto Espinoza,Mexico,1939
Miguel Vazquez,Mexico,1939
Ralph Orquin,Mexico,1939
Luis Malagón,Mexico,1939
Rodolfo Cota,Mexico,1939
Óscar Jiménez,Mexico,1939
Luka Romero,Argentina,1947
Mateusz Bogusz,Poland,1947
Ángel Sepúlveda,Mexico,1947
José Paradela,Argentina,1947
Gabriel Fernández,Uruguay,1947
