playerName,playercountry,teamid,slug_country,tournament,leagueid,slug_torn,teamName,teamslug,teamorigin
Germán Berterame,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Roberto de la Rosa,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Lucas Ocampos,Argentina,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Sergio Canales,Spain,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Jesús Corona,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Óliver Torres,Spain,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Jorge Rodríguez,Argentina,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Fidel Ambríz,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Iker Fimbres,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Michell Rodríguez,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Pedro Jair Ramírez Orta,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Sergio Ramos,Spain,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Gerardo Arteaga,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Stefan Medina,Colombia,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Héctor Moreno,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Victor Guzmán,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Carlos Salcedo,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Érick Aguirre,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Antonio Leone,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Luis Reyes,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Ricardo Chávez,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
César Bustos,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Luis Sanchez,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Santiago Mele,Uruguay,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Luis Cárdenas,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Santiago Perez-Meraz,Mexico,1932,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,CF Monterrey,cf-monterrey,mexico
Allan Saint-Maximin,France,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Henry Martín,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Víctor Dávila,Chile,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Rodrigo Aguirre,Uruguay,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Raúl Zúñiga,Colombia,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Javairô Dilrosun,Netherlands,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Brian Rodríguez,Uruguay,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Alejandro Zendejas,USA,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Álvaro Fidalgo,Spain,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Erick Sánchez,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Jonathan Dos Santos,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Isaías Violante,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Alan Cervantes,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Alexis Gutiérrez,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Santiago Naveda,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Osvaldo Arriaga,Mexico,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Cristián Borja,Colombia,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
Sebastián Cáceres,Uruguay,1939,mexico,"Liga MX, Apertura",11621,liga-mx-apertura,Club América,club-america,mexico
