slug_country,tournament,id,slug_torn
mexico,"Liga MX, Apertura",11621,liga-mx-apertura
mexico,"Liga MX, Clausura",11620,liga-mx-clausura
mexico,"Liga de Expansión MX, Apertura",11611,liga-de-expansion-mx-apertura
mexico,"Liga de Expansión MX, Clausura",11612,liga-de-expansion-mx-clausura
mexico,Copa MX,1598,copa-mx
mexico,Trofeo de Campeon de Campeones,2103,trofeo-de-campeon-de-campeones
mexico,U20 Liga MX,10417,u20-liga-mx
mexico,"Liga MX, Women, Apertura",13593,liga-mx-women-apertura
mexico,"Liga MX, Women, Clausura",13592,liga-mx-women-clausura
mexico,"U23 Liga MX, Apertura",20710,u23-liga-mx-apertura
mexico,Liga Premier Serie A,20870,liga-premier-serie-a
mexico,Liga Premier Serie B,20871,liga-premier-serie-b
mexico,Campeon de Campeones Liga Expansion MX,26927,campeon-de-campeones-liga-expansion-mx
mexico,"Mexico U19 League, Apertura",27969,mexico-u19-league-apertura
mexico,"Mexico U19 League, Clausura",24257,liga-mx-u19
mexico,U21 Liga MX,28306,u21-liga-mx
england,Premier League,17,premier-league
england,Championship,18,championship
england,League One,24,league-one
england,League Two,25,league-two
england,National League,173,national-league
england,FA Cup,19,fa-cup
england,"FA Cup, Qualification",1696,fa-cup-qualification
england,EFL Cup,21,efl-cup
england,Football League Trophy,334,football-league-trophy
england,FA Women's Championship,10553,fa-womens-championship
england,Community Shield,346,community-shield
england,Women's Super League,1044,the-fa-womens-super-league
england,Women's FA Cup,11666,fa-cup-women
england,FA Women's League Cup,11667,fa-womens-league-cup
england,England National League Cup,24029,england-national-league-cup
england,Baller League UK,25492,baller-league-uk
england,FA Youth Cup,24640,fa-youth-cup
spain,LaLiga,8,laliga
spain,LaLiga 2,54,laliga-2
spain,Primera Federación,17073,primera-federacion
spain,Segunda Federación,544,segunda-federacion
spain,Copa del Rey,329,copa-del-rey
spain,Supercopa de España,213,supercopa-de-espana
spain,Liga F Moeve,1127,liga-f
spain,Copa Federación,11618,copa-federacion
spain,Supercopa Femenina,14687,supercopa-femenina
spain,Copa de SM La Reina,11126,copa-de-sm-la-reina
spain,División de Honor Juvenil,23232,division-de-honor-juvenil
spain,Primera Federacion Women,27917,primera-federacion-women
